"country","Civic Engagement","Community","Education","Environment","Health","Housing","Income","Jobs","Life Satisfaction","Safety","Work-Life Balance"
"Australia",8.75,7.80701754385965,8.60156873945491,8.91344236138811,9.52767166935206,6.2992125984252,5.96761558886073,8.51111683860037,7.09302325581395,7.40448614404692,3.00553341990394
"Austria",3.54787234042553,7.4561403508772,6.57098053064605,7.64898284802553,7.8840345541334,3.05656387310918,4.64476818714113,8.41065675333996,7.50830564784053,9.2129772828814,4.9282440068586
"Belgium",6.57446808510638,5.63157894736842,7.72820965782266,5.7983645791783,8.04153013378713,4.2989192419889,5.19196012217649,7.87795516788208,6.17940199335548,6.33639206791078,7.35273875691307
"Brazil",6.22340425531915,2.76315789473684,1.97060468088505,4.86777024331871,5.78253706754531,1.86629526462396,NA,4.43548387096774,4.25249169435216,1.92671638542347,7.91423001949318
"Canada",6.6968085106383,7.36842105263158,7.78997112843486,8.59712804148385,9.42339373970346,4.53300579767362,5.31429199444734,8.3273469144681,6.73311184939092,8.32468410259935,5.40915459558806
"Chile",0.462765957446809,6.05263157894737,4.47310037808745,1.15456721180694,6.55179800978813,5.10999952478085,0.656002840180667,4.423301516946,4.51827242524917,4.67843191165183,7.16049382716049
"Colombia",1.35106382978723,1.71052631578947,1.10353010452974,4.03490227363383,7.29225881202817,1.71309192200557,NA,7.02620967741935,4.51827242524917,1.64553046705846,1.0916179337232
"Costa Rica",3.73404255319149,2.5,0.703261772157255,5.9234144395692,7.65835299607952,3.35988163387655,1.71709440551078,6.48511622390892,4.93355481727575,3.86620613808984,1.92332683560754
"Czechia",2.80851063829787,9.07894736842105,7.4767657066183,6.30733944954128,6.35051384639523,2.13796068840977,4.14408380970604,7.54640574036537,7.3421926910299,8.39038388837337,8.34307992202729
"Denmark",6.25531914893617,8.1578947368421,7.93770989318647,8.26485839648983,7.66340194676274,2.99754074090321,3.33199971108812,8.57021519651036,8.17275747508305,9.17545909658499,9.62962962962963
"Estonia",5.77127659574468,8.28947368421053,8.19154884575445,8.26166733147188,5.66926758030547,4.71724003684776,2.36214590985618,7.12625799224374,4.85049833887043,8.42944862586063,6.5958375114992
"Finland",5.0531914893617,9.21052631578947,9.04367297192139,9.79357798165138,7.58823343049043,3.04074912815564,3.76081987414437,8.13670374749527,10,9.29952686989495,6.76408325371401
"France",5.44148936170213,8.05263157894737,6.21342554224201,6.03390506581572,7.60643530001026,3.47162210573261,4.2669213258249,7.31267140562786,5.9579180509413,8.1244916428956,8.2475367308847
"Germany",4.79787234042553,5.52631578947368,7.52621448335711,7.62365376944555,7.11763250478242,3.61820893558222,4.84950195366011,8.84881980464982,7.92358803986711,8.32835000171839,7.77104834248832
"Greece",2.88297872340426,0.263157894736842,6.07000076352535,3.82329477463103,8.61026123793834,1.92362314390367,1.77040420858366,2.54804816328123,2.92358803986711,7.54957555761762,6.38592843036045
"Hungary",2.65957446808511,7.76315789473684,6.00330824820297,5.22576785001994,5.32251932581422,3.12681405771354,1.80995362292899,6.8099402627142,4.01993355481727,8.03948860707289,6.89053254729585
