"country","n_dims","BLI"
"Norway",11,7.65592752372306
"Sweden",11,7.64652845926615
"Iceland",10,7.58979189354034
"Switzerland",11,7.53314540441958
"Australia",11,7.44369892360962
"Finland",11,7.42646227841987
"Netherlands",11,7.37505608066786
"Luxembourg",11,7.30251616340703
"Denmark",11,7.28698054291061
"United States",11,7.25398468190813
"Canada",11,7.13793797518722
"New Zealand",11,7.02075327106822
"Germany",11,6.72101872413184
"United Kingdom",11,6.53276476143372
"Ireland",11,6.4845432530453
"Belgium",11,6.45559261395361
"Austria",11,6.44268421593441
"France",11,6.42991346460222
"Slovenia",11,6.3922304149288
"Estonia",11,6.3876965866059
"Czechia",11,6.3569257953805
"Israel",10,6.12483683819281
"Spain",11,6.05450769138768
"OECD - Total",11,5.9274315646213
"Lithuania",11,5.83203800594316
"Italy",11,5.79206690232768
"Slovak Republic",11,5.61403240991675
"Poland",11,5.55430154996134
"Latvia",11,5.49760217795818
"Portugal",11,5.28645049896635
"Hungary",11,5.24281731267289
"Russia",11,5.16322579984468
"Korea",11,4.87787980588963
"Japan",11,4.74015913514834
"Brazil",10,4.20026913766656
"Chile",11,4.11285138018597
"Greece",11,4.06826008525905
"Costa Rica",11,3.89129561956971
"Türkiye",10,3.50575865307924
"Colombia",10,3.14870037612242
"Mexico",11,3.12130477543543
"South Africa",11,2.62388231872036
