Country;Indicator;Sub-Indicator;Inequality;OBS_VALUE;Observation Value;OBS_STATUS;Observation Status;UNIT_MEASURE;Unit of Measures;UNIT_MULT;Multiplier;BASE_PER;Base reference period
Australia;Enviroment;Air pollution;;6.7;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
Canada;Enviroment;Air pollution;;7.1;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
Denmark;Enviroment;Air pollution;;10.0;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
Norway;Enviroment;Air pollution;;6.7;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
Latvia;Enviroment;Air pollution;;12.7;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
OECD - Total;Enviroment;Air pollution;;14.0;;A;;MICRO_M3;Micrograms per cubic metre;0;Units;;
Finland;Housing;Dwellings without basic facilities;;0.4;;A;;PC;Percentage;0;Units;;
Germany;Housing;Dwellings without basic facilities;;0.1;;A;;PC;Percentage;0;Units;;
Ireland;Housing;Dwellings without basic facilities;;0.2;;A;;PC;Percentage;0;Units;;
Italy;Housing;Dwellings without basic facilities;;0.6;;A;;PC;Percentage;0;Units;;
United Kingdom;Housing;Dwellings without basic facilities;;0.5;;A;;PC;Percentage;0;Units;;
United States;Housing;Dwellings without basic facilities;;0.1;;A;;PC;Percentage;0;Units;;
Chile;Housing;Dwellings without basic facilities;;9.4;;A;;PC;Percentage;0;Units;;
Latvia;Housing;Dwellings without basic facilities;;11.2;;A;;PC;Percentage;0;Units;;
Canada;Housing;Dwellings without basic facilities;;0.2;;A;;PC;Percentage;0;Units;;
New Zealand;Education;Educational attainment;;81.0;;A;;PC;Percentage;0;Units;;
Portugal;Education;Educational attainment;;55.0;;A;;PC;Percentage;0;Units;;
Türkiye;Education;Educational attainment;;42.0;;A;;PC;Percentage;0;Units;;
Brazil;Education;Educational attainment;;57.0;;A;;PC;Percentage;0;Units;;
Latvia;Education;Educational attainment;;89.0;;A;;PC;Percentage;0;Units;;
Belgium;Education;Educational attainment;;78.0;;A;;PC;Percentage;0;Units;;
Hungary;Education;Educational attainment;;87.0;;A;;PC;Percentage;0;Units;;
Iceland;Education;Educational attainment;;74.0;;A;;PC;Percentage;0;Units;;
Korea;Education;Educational attainment;;92.0;;A;;PC;Percentage;0;Units;;
Portugal;Education;Educational attainment;;52.0;;A;;PC;Percentage;0;Units;;
Spain;Education;Educational attainment;;60.0;;A;;PC;Percentage;0;Units;;
Chile;Education;Educational attainment;;67.0;;A;;PC;Percentage;0;Units;;
Latvia;Education;Educational attainment;;86.0;;A;;PC;Percentage;0;Units;;
Australia;Education;Educational attainment;;84.0;;A;;PC;Percentage;0;Units;;
Austria;Education;Educational attainment;;83.0;;A;;PC;Percentage;0;Units;;
Finland;Education;Educational attainment;;94.0;;A;;PC;Percentage;0;Units;;
Korea;Education;Educational attainment;;87.0;;A;;PC;Percentage;0;Units;;
Mexico;Education;Educational attainment;;41.0;;A;;PC;Percentage;0;Units;;
Türkiye;Education;Educational attainment;;38.0;;A;;PC;Percentage;0;Units;;
Israel;Education;Educational attainment;;89.0;;A;;PC;Percentage;0;Units;;
Slovenia;Education;Educational attainment;;89.0;;A;;PC;Percentage;0;Units;;
Colombia;Education;Educational attainment;;59.0;;A;;PC;Percentage;0;Units;;
Lithuania;Education;Educational attainment;;91.0;;A;;PC;Percentage;0;Units;;
