Country,Year,SPI Score,Rank,Basic Human Needs,Foundations of Wellbeing,Opportunity,Region
Norway,2025,,1,91.26,90.86,90.11,Europe
Denmark,2025,,2,91.81,90.32,89.48,Europe
Finland,2025,,3,91.36,90.31,89.71,Europe
Switzerland,2025,,4,91.35,91.26,88.16,Europe
Iceland,2025,,5,91.18,90.44,87,Europe
Sweden,2025,,6,90.35,88.9,88.99,Europe
Netherlands,2025,,7,89.49,88.8,88.63,Europe
Germany,2025,,8,90.01,87.1,89.05,Europe
Japan,2025,,9,91.72,89.93,82.91,Asia
Canada,2025,,10,88.6,88.88,87.02,North America
Austria,2025,,11,90.49,88.53,85.14,Europe
Australia,2025,,12,89.1,87.72,86.67,Oceania
Ireland,2025,,13,88.99,86.68,87.41,Europe
Luxembourg,2025,,14,89.4,88.8,84.24,Europe
New Zealand,2025,,15,86.68,88.45,86.64,Oceania
Belgium,2025,,16,89.45,85.58,86.64,Europe
Korea, Republic of,2025,,17,90.44,87.03,81.96,Asia
Estonia,2025,,18,89.8,87.23,81.45,Europe
United Kingdom,2025,,19,88.77,87.48,82.15,Europe
France,2025,,20,88.3,86.79,83.13,Europe
Spain,2025,,21,89.52,84.71,81.81,Europe
Italy,2025,,22,89.37,83.61,82.7,Europe
Czechia,2025,,23,89.29,83.76,82.53,Europe
Portugal,2025,,24,89.34,82.62,82.28,Europe
United States,2025,,25,87.63,84.58,81.74,North America
Malta,2025,,26,89.37,84.64,79.54,Europe
Slovenia,2025,,27,89.2,85.45,77.93,Europe
Singapore,2025,,28,92.91,85.68,72.68,Asia
Lithuania,2025,,29,88.56,81.58,80.98,Europe
Cyprus,2025,,30,87.5,84.99,77.04,Europe
Israel,2025,,31,88.34,84.2,76.99,Asia
Latvia,2025,,32,87.43,79.68,80.28,Europe
Greece,2025,,33,87.77,79.85,79.72,Europe
Croatia,2025,,34,89.48,82.18,75.28,Europe
Slovakia,2025,,35,87.72,80.08,76.08,Europe
Chile,2025,,36,83.62,79.53,79.2,South America
Costa Rica,2025,,37,85.04,79.06,77.84,Central America
Uruguay,2025,,38,83.73,78.41,78.67,South America
Poland,2025,,39,88.12,78.5,73.89,Europe
Barbados,2025,,40,84.17,78.81,75.84,Caribbean
Argentina,2025,,41,82.28,76.93,76.7,South America
Hungary,2025,,42,88.12,75.94,70.59,Europe
Romania,2025,,43,86.7,74.78,69.2,Europe
Bulgaria,2025,,44,85.7,72.3,72.44,Europe
Serbia,2025,,45,85.83,74.08,67.48,Europe
Trinidad and Tobago,2025,,46,81.88,74.77,70.08,Caribbean
Mauritius,2025,,47,85.83,75.58,64.91,Africa
Armenia,2025,,48,86.97,72.18,65.19,Asia
Montenegro,2025,,49,86.37,71.85,65.69,Europe
Georgia,2025,,50,85.17,72.88,65.25,Asia
Moldova,2025,,51,83.13,71.98,67.46,Europe
Ukraine,2025,,52,80.47,73.23,68.82,Europe
Albania,2025,,53,84.56,76.43,61.36,Europe
Malaysia,2025,,54,85.2,77.44,59.58,Asia
Kuwait,2025,,55,87.36,77.3,57.51,Asia
Panama,2025,,56,82.87,73.11,66.09,Central America
Jamaica,2025,,57,81.22,71.38,67.85,Caribbean
Republic of North Macedonia,2025,,58,86.12,68.79,63.3,Europe
Russia,2025,,59,80.72,75.69,59.55,Europe
Ecuador,2025,,60,80.13,71.03,64.09,South America
Belarus,2025,,61,84.6,74.8,55.06,Europe
Brazil,2025,,62,80.19,72.95,60.63,South America
Bosnia and Herzegovina,2025,,63,85.23,69.04,59.44,Europe
Suriname,2025,,64,81.73,67.56,64.36,South America
Kazakhstan,2025,,65,84.49,72.99,56.15,Asia
Mexico,2025,,66,80.62,70.08,61.83,North America
Peru,2025,,67,79.16,71.47,61.48,South America
United Arab Emirates,2025,,68,87.17,72.98,51.93,Asia
South Africa,2025,,69,71.29,69,69.56,Africa
Colombia,2025,,70,79.47,74.05,55.96,South America
Thailand,2025,,71,81.63,75.5,52.28,Asia
Tunisia,2025,,72,80.34,66.43,62.54,Africa
Dominican Republic,2025,,73,79.84,68.15,61.31,Caribbean
Sri Lanka,2025,,74,78.82,75,53.86,Asia
Cabo Verde,2025,,75,78.21,63.81,65.01,Africa
Paraguay,2025,,76,81.34,68.69,56.85,South America
Vietnam,2025,,77,81.92,69.36,53.26,Asia
Bhutan,2025,,78,80.22,66.33,57.59,Asia
Maldives,2025,,79,82.21,69.39,52.47,Asia
Oman,2025,,80,83.49,68.4,51.21,Asia
Philippines,2025,,81,77.29,67.52,57.58,Asia
Jordan,2025,,82,83.84,65.07,53.05,Asia
Kyrgyzstan,2025,,83,81.71,69.01,50.97,Asia
Mongolia,2025,,84,73.02,63.92,64.71,Asia
Bolivia,2025,,85,77.5,64.84,59.11,South America
Fiji,2025,,86,79.64,63.88,57.53,Oceania
Indonesia,2025,,87,78.89,65.23,55.89,Asia
Turkey,2025,,88,82.66,67.68,49.43,Asia
Lebanon,2025,,89,80.98,62.52,55.94,Asia
Qatar,2025,,90,86.51,66.59,46.29,Asia
