	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES		ln_GDPpc	ln_GDPpc		ln_GDPpc	ln_GDPpc	ln_GDPpc	ln_GDPpc
								
ln_exportGDP	-0.054*	-0.200**	-0.187**					
	(0.031)	(0.087)	(0.093)					
ln_exportpc				0.137***	-0.250*	-0.230		
				(0.038)	(0.135)	(0.141)		
lpred_TOTAL_trad_5ys							-0.215**	-0.194*
							(0.110)	(0.112)
								
Observations	344	344	344	344	344	344	344	344
R-squared	0.014	-0.089	-0.075	0.101	-0.702	-0.627	0.035	0.030
N	344	344	344	344	344	344	344	344
widstat		26.50	24.98		16.77	16.56		
