"country","model","effect_trade"
"Algeria",1,NA
"Argentina",1,-0.4
"Australia",1,-0.4
"Australia - Queensland",1,NA
"Australia - South Australia",1,NA
"Australia - Tasmania",1,NA
"Australia - Victoria",1,NA
"Australia - Western Australia",1,NA
"Austria-Hungary",1,-0.4
"Bahamas",1,NA
"Barbados",1,NA
"Belgium",1,-0.4
"Bermuda",1,NA
"Bolivia",1,NA
"Brazil",1,-0.4
"British Honduras",1,NA
"Canada",1,-0.4
"Cape of Good Hope",1,-0.4
"Ceylon",1,-0.4
"Chile",1,-0.4
"China",1,-0.4
"Colombia",1,-0.4
"Costa Rica",1,NA
"Cuba",1,-0.4
"Denmark",1,-0.4
"Dominican Republic",1,NA
"Dutch East Indie",1,-0.4
"Dutch Guyana",1,NA
"Ecuador",1,NA
"Egypt",1,NA
"El Salvador",1,NA
"Falklands islands",1,NA
"Finland",1,-0.4
"France",1,-0.4
"Germany",1,-0.4
"Gold Coast",1,NA
"Greece",1,-0.4
"Guadaloupe",1,NA
"Guatemala",1,NA
"Guyana",1,NA
"Haiti",1,NA
"Iceland",1,NA
"India - British Possessions",1,NA
"Italy",1,-0.4
"Japan",1,-0.4
"Lagos",1,NA
"Liberia",1,NA
"Malta",1,NA
"Martinique",1,NA
"Mauritius",1,NA
"Mexico",1,-0.4
"Netherlands",1,-0.4
"New Zealand",1,-0.4
"Nicaragua",1,NA
"Norway",1,-0.4
"Ottoman Empire",1,NA
"Persia",1,NA
"Peru",1,NA
"Philippines",1,NA
"Portugal",1,-0.4
"Puerto Rico",1,NA
"Romania",1,NA
"Russia",1,NA
"Siam",1,NA
"Spain",1,-0.4
"Straits Settlements",1,NA
"Sweden",1,-0.4
"Trinidad and Tobago",1,NA
"United Kingdom",1,-0.4
"United States",1,-0.4
"Uruguay",1,-0.4
"Venezuela",1,-0.4
"Virgin Islands",1,NA
"Algeria",2,NA
"Argentina",2,-0.395
"Australia",2,-0.395
"Australia - Queensland",2,NA
"Australia - South Australia",2,NA
"Australia - Tasmania",2,NA
"Australia - Victoria",2,NA
"Australia - Western Australia",2,NA
"Austria-Hungary",2,-0.395
"Bahamas",2,NA
"Barbados",2,NA
"Belgium",2,-0.395
"Bermuda",2,NA
"Bolivia",2,NA
"Brazil",2,-0.395
"British Honduras",2,NA
"Canada",2,-0.395
"Cape of Good Hope",2,-0.395
"Ceylon",2,-0.395
"Chile",2,-0.395
"China",2,-0.395
"Colombia",2,-0.395
"Costa Rica",2,NA
"Cuba",2,-0.395
"Denmark",2,-0.395
"Dominican Republic",2,NA
"Dutch East Indie",2,-0.395
"Dutch Guyana",2,NA
"Ecuador",2,NA
"Egypt",2,NA
"El Salvador",2,NA
"Falklands islands",2,NA
"Finland",2,-0.395
"France",2,-0.395
"Germany",2,-0.395
"Gold Coast",2,NA
"Greece",2,-0.395
"Guadaloupe",2,NA
"Guatemala",2,NA
"Guyana",2,NA
"Haiti",2,NA
"Iceland",2,NA
"India - British Possessions",2,NA
"Italy",2,-0.395
"Japan",2,-0.395
"Lagos",2,NA
"Liberia",2,NA
"Malta",2,NA
"Martinique",2,NA
"Mauritius",2,NA
"Mexico",2,-0.395
"Netherlands",2,-0.395
"New Zealand",2,-0.395
"Nicaragua",2,NA
"Norway",2,-0.395
"Ottoman Empire",2,NA
"Persia",2,NA
"Peru",2,NA
"Philippines",2,NA
"Portugal",2,-0.395
"Puerto Rico",2,NA
"Romania",2,NA
"Russia",2,NA
"Siam",2,NA
