"Variable","Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8"
"ln_exportGDP","-0.659 (0.263)","-0.655 (0.267)","-0.048 (0.075)","-0.019 (0.077)","","","",""
"trade_by_above_mean_gdp_1850","0.550 (0.241)","0.561 (0.240)","","","","","",""
"trade_by_above_p75_gdp_1850","","","NA (NA)","NA (NA)","","","",""
"ln_exportpc","","","","","-0.472 (0.210)","-0.461 (0.217)","-0.051 (0.082)","-0.020 (0.080)"
"trade2_by_above_mean_gdp_1850","","","","","0.313 (0.131)","0.315 (0.132)","",""
"trade2_by_above_p75_gdp_1850","","","","","","","NA (NA)","NA (NA)"
"Country dummies","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Year dummies","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Observations","355","355","355","355","355","355","355","355"
"Weighted","No","Yes","No","Yes","No","Yes","No","Yes"
