	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES		lpopulation	lpopulation		l1urban_50pc	l1urban_50pc		l1urban_100pc	l1urban_100pc
									
ln_exportpc	-0.152**	-1.302***	-1.196***	0.003	-0.082	-0.075	-0.152**	-0.087	-0.083
	(0.059)	(0.297)	(0.285)	(0.008)	(0.050)	(0.052)	(0.059)	(0.068)	(0.067)
									
Observations	344	344	344	344	344	344	344	344	344
R-squared	0.040	-2.256	-2.366	0.001	-0.672	-0.670	0.040	-0.501	-0.555
N	344	344	344	344	344	344	344	344	344
widstat		16.77	16.56		16.77	16.56		16.77	16.56
