country,cons1860,est,se,lo,hi
Australia,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
Belgium,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
Canada,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
Ceylon,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
New Zealand,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
United Kingdom,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
United States,7,0.02831723270626177,0.04827276399870805,-0.06629738473120601,0.12293185014372955
Cape of Good Hope,6,-0.001168708950380959,0.0405247264640806,-0.08059717281997893,0.07825975491921701
Japan,6,-0.001168708950380959,0.0405247264640806,-0.08059717281997893,0.07825975491921701
Netherlands,6,-0.001168708950380959,0.0405247264640806,-0.08059717281997893,0.07825975491921701
Denmark,5,-0.03065465060702366,0.03406975473558055,-0.09743136988876153,0.03612206867471421
Romania,5,-0.03065465060702366,0.03406975473558055,-0.09743136988876153,0.03612206867471421
Sweden,4,-0.06014059226366637,0.029761450608751287,-0.11847303545681889,-0.0018081490705138537
Argentina,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Colombia,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Dutch East Indie,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Ecuador,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Finland,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
France,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Greece,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Norway,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Peru,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Portugal,3,-0.08962653392030909,0.028587422387688972,-0.14565788180017947,-0.0335951860404387
Chile,2,-0.11911247557695179,0.030906933154999514,-0.17969006456075082,-0.05853488659315274
Germany,2,-0.11911247557695179,0.030906933154999514,-0.17969006456075082,-0.05853488659315274
Austria-Hungary,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Brazil,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
China,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Cuba,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
India - British Possessions,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Italy,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Mexico,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Philippines,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Siam,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Spain,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Uruguay,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
Venezuela,1,-0.14859841723359452,0.036051870092459075,-0.2192600826148143,-0.07793675185237472
