country,eff_b8,se_b8,model,eff_b7,se_b7,eff_b6,se_b6,eff_b5,se_b5,eff_b4,se_b4,eff_b3,se_b3,eff_b2,se_b2,eff_b1,se_b1
Argentina,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Australia,-.11702761,.095732853,b8,,,,,,,,,,,,,,
Austria-Hungary,-.11702761,.095732853,b8,,,,,,,,,,,,,,
Belgium,-.11702761,.095732853,b8,,,,,,,,,,,,,,
Brazil,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Canada,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Cape of Good Hope,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Ceylon,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Chile,-.22677031,.1220166,b8,,,,,,,,,,,,,,
China,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Colombia,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Cuba,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Denmark,-.11702761,.095732853,b8,,,,,,,,,,,,,,
Dutch East Indie,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Ecuador,,,b8,,,,,,,,,,,,,,
Finland,-.22677031,.1220166,b8,,,,,,,,,,,,,,
France,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Germany,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Greece,-.22677031,.1220166,b8,,,,,,,,,,,,,,
India - British Possessions,,,b8,,,,,,,,,,,,,,
Italy,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Japan,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Mexico,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Netherlands,-.11702761,.095732853,b8,,,,,,,,,,,,,,
New Zealand,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Norway,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Peru,,,b8,,,,,,,,,,,,,,
Philippines,,,b8,,,,,,,,,,,,,,
Portugal,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Romania,,,b8,,,,,,,,,,,,,,
Siam,,,b8,,,,,,,,,,,,,,
Spain,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Sweden,-.22677031,.1220166,b8,,,,,,,,,,,,,,
United Kingdom,-.11702761,.095732853,b8,,,,,,,,,,,,,,
United States,-.11702761,.095732853,b8,,,,,,,,,,,,,,
Uruguay,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Venezuela,-.22677031,.1220166,b8,,,,,,,,,,,,,,
Argentina,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Australia,,,b7,-.14361908,.093323819,,,,,,,,,,,,
Austria-Hungary,,,b7,-.14361908,.093323819,,,,,,,,,,,,
Belgium,,,b7,-.14361908,.093323819,,,,,,,,,,,,
Brazil,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Canada,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Cape of Good Hope,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Ceylon,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Chile,,,b7,-.26013324,.12245201,,,,,,,,,,,,
China,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Colombia,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Cuba,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Denmark,,,b7,-.14361908,.093323819,,,,,,,,,,,,
Dutch East Indie,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Ecuador,,,b7,,,,,,,,,,,,,,
Finland,,,b7,-.26013324,.12245201,,,,,,,,,,,,
France,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Germany,,,b7,-.26013324,.12245201,,,,,,,,,,,,
Greece,,,b7,-.26013324,.12245201,,,,,,,,,,,,
India - British Possessions,,,b7,,,,,,,,,,,,,,
Italy,,,b7,-.26013324,.12245201,,,,,,,,,,,,
