"part","term","statistic","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)"
"estimates","log export/GDP","estimate","0.025","0.075","0.025","0.075","","","",""
"estimates","log export/GDP","std.error","(0.098)","(0.115)","(0.098)","(0.115)","","","",""
"estimates","log export/population","estimate","","","","","0.024","0.070","0.024","0.070"
"estimates","log export/population","std.error","","","","","(0.095)","(0.101)","(0.094)","(0.100)"
"estimates","log export/GDP × above mean GDP 1850","estimate","-0.251","-0.246","","","","","",""
"estimates","log export/GDP × above mean GDP 1850","std.error","(0.197)","(0.188)","","","","","",""
"estimates","log export/population × above mean GDP 1850","estimate","","","","","-0.196","-0.181","",""
"estimates","log export/population × above mean GDP 1850","std.error","","","","","(0.157)","(0.142)","",""
"gof","Num.Obs.","","338","338","338","338","338","338","338","338"
"manual","Country dummies","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"manual","Year dummies","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"manual","F","","288","288","289","289","288","288","289","289"
"manual","Observations","","338","338","338","338","338","338","338","338"
"manual","Weighted","","No","Yes","No","Yes","No","Yes","No","Yes"
