"country","GDP2020","ANS2020"
"Africa Eastern and Southern",933407232177.078,811405286192.027
"Africa Western and Central",797295175501.973,692861753424.374
"Angola",48501561203.5686,67983511083.0109
"Arab World",2596422612311.05,2173933273751.06
"United Arab Emirates",349473015330.157,334982821504.815
"Argentina",385740508436.965,438313354195.705
"Armenia",12641698583.2152,10285189143.6338
"Austria",434397601557.696,306778001442.52
"Burundi",2649680261.44299,2564547437.78051
"Belgium",529694473501.791,379037516163.943
"Benin",15686741893.5187,12987245573.0423
"Bangladesh",373979442362.193,241419106000.911
"Bulgaria",70550652466.6251,49373129953.5647
"Bahrain",35837632978.7234,24143510592.9468
"Bahamas, The",10363200000,8565109001.81837
"Bosnia and Herzegovina",20226036564.4129,15356454034.5488
"Belarus",61371673344.7424,45804220098.0364
"Belize",2042850000,1248873909.19602
"Bolivia",36629843806.0781,30156903824.5613
"Brazil",1476107231310.49,1492728861895.38
"Brunei Darussalam",12005799664.2691,9889493082.64306
"Bhutan",2457604333.90927,1844165990.24252
"Botswana",14960251610.8975,11520242159.7918
"Central African Republic",2326720900.38047,1871911044.03989
"Canada",1655684730000.19,1296457211624.11
"Central Europe and the Baltics",1679770251031.92,1217481561848
"Switzerland",741999406005.627,519615575716.042
"Chile",254042159309.311,201770771087.506
"China",14996414166715.1,10496747176130.2
"Cote d'Ivoire",63027852805.4204,60136807663.6495
"Cameroon",40773241177.0505,32840155727.0419
"Congo, Dem. Rep.",48716961860.1325,40068535151.6199
"Congo, Rep.",11468687464.0046,2915762076.33255
"Colombia",270348342541.465,251928163998.468
"Comoros",1225039195.93742,963827115.74995
"Cabo Verde",1821565613.68613,1371277065.54025
"Costa Rica",62395610759.9798,54561008506.1164
"Cyprus",25555093854.2968,19072549169.4889
"Czechia",251109660602.536,152797815998.779
"Germany",3940142541354.1,2865709924504.28
"Djibouti",3144136196.6228,2833864151.61022
"Denmark",355631021931.621,283054791270.438
"Dominican Republic",78546672406.8291,70004578441.9015
"Algeria",164873415325.201,139381719321.019
"East Asia & Pacific (excluding high income)",17805361735240.4,12655269775686
"Early-demographic dividend",11039712538107.1,9341621725666.08
"East Asia & Pacific",27474338351594.1,19818595108156.5
"Europe & Central Asia",22287615625568.5,17048683378041
"Ecuador",95865473000,71264838586.5803
"Egypt, Arab Rep.",383817841547.099,355309314173.23
"Euro area",13266853301191.7,9565105037106.87
"Spain",1289783836971.21,984963146651.217
"Estonia",31820771493.8974,22404347230.3962
"Ethiopia",107657732424.155,83827994049.462
"European Union",15505708717748.9,11316514715839.8
"Fragile and conflict affected situations",1684325379797.98,1416036910821.96
"Finland",270000311606.226,202463680954.058
"France",2647926055110.05,1960218156730.71
"Gabon",15342236163.9943,11744403548.9814
"Georgia",16010869215.68,13969751591.6878
"Ghana",70008243859.8666,55644409505.7621
"Guinea",14088693742.9464,10785389624.6508
"Gambia, The",1812170891.19069,1377818525.14773
"Guinea-Bissau",1683619351.72486,1000515513.38083
"Equatorial Guinea",9893816007.7398,3906733743.90279
"Greece",191362985554.861,153832442858.649
"Guatemala",77719464220.73,61489867152.2671
"Honduras",23352232483.755,19625896738.647
"Heavily indebted poor countries (HIPC)",820678273818.935,703302163318.149
"Croatia",57963370885.0798,45118456721.6244
"Haiti",14508222518.3018,14768736334.0557
"Hungary",158468487754.196,112034114169.233
"IBRD only",30426310945474.6,23548107946871.5
"IDA & IBRD total",32884865747902.1,25660864100532.4
"IDA total",2457830370728.94,2113033513992.18
"IDA blend",1087140198997.65,902834621160.537
"Indonesia",1059054842698.48,806332206358.32
"IDA only",1370690171731.28,1214644667049.84
"India",2674851578587.27,2200341428312.59
"Ireland",436555518400.451,186906116296.485
"Iraq",180898797516.874,117175217290.994
"Iceland",21629953194.0659,15568415009.5254
"Israel",410768352657.612,300905439609.344
"Italy",1907481094079.23,1441569325109.3
"Jamaica",13812421835.7369,12209748596.641
"Jordan",43700383098.5916,38590155734.3904
"Japan",5054068005376.28,3430053812879.29
"Kazakhstan",171082365861.423,154381180562.344
"Kenya",100657505750.545,69858066962.6868
"Kyrgyz Republic",8270468614.24051,6015903804.19687
"Cambodia",34818073901.4851,20815072609.5435
"Kiribati",220897998.732518,349563146.591208
"Korea, Rep.",1644312831906.17,1269275276107.25
"Latin America & Caribbean (excluding high income)",3984427319010.97,3719626609667.21
"Lebanon",31712128253.7961,29809838249.075
"Latin America & Caribbean",4805921371470.46,4310991786958.73
"Least developed countries: UN classification",1179759976006.93,995978009001.136
